date,open,high,low,close,adj_close
2025-07-25,1333.31,1337.2,1303.21,1311.48,1311.48
2025-07-28,1299.22,1330.62,1297.13,1316.36,1316.36
2025-07-29,1304.5,1335.8,1304.5,1330.92,1330.92
2025-07-30,1315.87,1334.41,1311.18,1331.82,1331.82
2025-07-31,1315.87,1344.58,1310.88,1323.54,1323.54
2025-08-01,1322.65,1322.65,1301.91,1313.27,1313.27
2025-08-04,1303.9,1341.78,1303.9,1337.6,1337.6
2025-08-05,1335.8,1335.8,1307.99,1312.88,1312.88
2025-08-06,1314.87,1320.05,1298.42,1310.08,1310.08
2025-08-07,1296.93,1323.24,1284.96,1305.1,1305.1
2025-08-08,1307.89,1319.36,1289.95,1300.81,1300.81
2025-08-11,1197.24,1246.09,1188.27,1241.3,1241.3
2025-08-12,1226.05,1255.95,1225.15,1241.1,1241.1
2025-08-13,1245.99,1279.98,1239.81,1272.1,1272.1
2025-08-14,1266.02,1275.59,1254.06,1270.81,1270.81
2025-08-18,1333.71,1397.81,1321.85,1344.97,1344.97
2025-08-19,1340.79,1378.47,1340.79,1374.58,1374.58
2025-08-20,1384.45,1384.45,1359.43,1365.51,1365.51
2025-08-21,1363.82,1367.7,1340.09,1358.43,1358.43
2025-08-22,1355.74,1381.86,1345.77,1348.96,1348.96
2025-08-25,1355.74,1367.5,1343.88,1353.15,1353.15
2025-08-26,1349.16,1361.02,1334.81,1343.08,1343.08
2025-08-28,1343.08,1360.33,1329.92,1355.04,1355.04
2025-08-29,1346.77,1378.17,1341.69,1369.7,1369.7
2025-09-01,1365.71,1421.63,1362.82,1407.48,1407.48
2025-09-02,1414.46,1440.47,1406.08,1436.09,1436.09
2025-09-03,1431.5,1434.09,1408.58,1425.82,1425.82
2025-09-04,1465.4,1465.4,1393.62,1398.21,1398.21
2025-09-05,1405.48,1432.9,1400.8,1428.31,1428.31
2025-09-08,1425.52,1432.3,1408.67,1414.76,1414.76
2025-09-09,1415.55,1423.53,1400.9,1407.88,1407.88
2025-09-10,1412.56,1420.74,1379.67,1390.53,1390.53
2025-09-11,1394.62,1394.62,1367.21,1390.93,1390.93
2025-09-12,1391.83,1404.69,1388.04,1399.2,1399.2
2025-09-15,1398.11,1417.45,1395.62,1411.37,1411.37
2025-09-16,1413.46,1429.51,1408.67,1410.17,1410.17
2025-09-17,1412.96,1417.45,1395.91,1407.48,1407.48
2025-09-18,1406.68,1425.92,1398.11,1421.73,1421.73
2025-09-19,1421.73,1433.4,1411.57,1415.45,1415.45
2025-09-22,1410.57,1410.57,1365.71,1371.89,1371.89
2025-09-23,1371.89,1382.06,1351.75,1368.4,1368.4
2025-09-24,1367.6,1372.69,1350.76,1368.0,1368.0
2025-09-25,1365.71,1378.57,1356.34,1368.1,1368.1
2025-09-26,1364.71,1367.3,1328.53,1336.0,1336.0
2025-09-29,1330.82,1378.67,1329.42,1370.2,1370.2
2025-09-30,1371.59,1385.45,1336.9,1349.26,1349.26
2025-10-01,1344.88,1360.03,1338.2,1349.26,1349.26
2025-10-03,1345.77,1361.82,1341.88,1356.14,1356.14
2025-10-06,1350.76,1371.69,1328.73,1362.42,1362.42
2025-10-07,1355.74,1373.09,1351.85,1367.9,1367.9
2025-10-08,1362.82,1372.69,1337.2,1363.02,1363.02
2025-10-09,1362.72,1390.63,1362.22,1377.67,1377.67
2025-10-10,1394.62,1433.1,1385.95,1412.86,1412.86
2025-10-13,1405.58,1407.08,1361.42,1374.18,1374.18
2025-10-14,1374.18,1395.32,1374.18,1387.34,1387.34
2025-10-15,1377.67,1411.57,1370.69,1407.68,1407.68
2025-10-16,1405.58,1418.74,1400.7,1411.17,1411.17
2025-10-17,1405.58,1432.5,1405.58,1422.13,1422.13
2025-10-20,1415.55,1443.47,1400.7,1440.28,1440.28
2025-10-21,1435.49,1455.43,1428.41,1451.24,1451.24
2025-10-23,1445.46,1459.22,1423.23,1426.72,1426.72
2025-10-24,1426.72,1445.46,1426.72,1436.89,1436.89
2025-10-27,1428.51,1440.87,1416.55,1432.1,1432.1
2025-10-28,1426.52,1431.4,1400.0,1423.93,1423.93
2025-10-29,1410.57,1421.43,1382.36,1414.36,1414.36
2025-10-30,1405.58,1420.74,1395.62,1415.35,1415.35
2025-10-31,1415.35,1419.44,1374.68,1379.27,1379.27
2025-11-03,1370.69,1382.46,1348.36,1361.42,1361.42
2025-11-04,1355.74,1375.38,1350.76,1355.14,1355.14
2025-11-06,1351.75,1368.3,1284.07,1288.35,1288.35
2025-11-07,1288.35,1323.14,1284.17,1317.36,1317.36
2025-11-10,1315.87,1370.49,1304.4,1336.5,1336.5
2025-11-11,1325.83,1334.81,1294.93,1299.72,1299.72
2025-11-12,1300.91,1338.79,1300.51,1333.41,1333.41
2025-11-13,1325.74,1340.79,1309.49,1332.71,1332.71
2025-11-14,1299.92,1381.16,1295.23,1346.67,1346.67
2025-11-17,1349.76,1385.65,1348.86,1369.6,1369.6
2025-11-18,1368.7,1391.43,1360.43,1379.87,1379.87
2025-11-19,1385.65,1400.1,1379.27,1397.41,1397.41
2025-11-20,1395.12,1413.56,1389.63,1407.38,1407.38
2025-11-21,1396.61,1413.56,1378.47,1391.43,1391.43
2025-11-24,1386.15,1399.6,1342.08,1350.36,1350.36
2025-11-25,1350.76,1361.22,1339.39,1352.05,1352.05
2025-11-26,1346.87,1388.14,1346.87,1382.66,1382.66
2025-11-27,1379.67,1398.51,1360.73,1393.62,1393.62
2025-11-28,1380.76,1384.05,1357.04,1371.99,1371.99
2025-12-01,1370.69,1380.36,1351.75,1356.14,1356.14
2025-12-02,1350.76,1363.32,1337.7,1348.66,1348.66
2025-12-03,1337.8,1370.69,1326.33,1331.72,1331.72
2025-12-04,1325.34,1339.19,1321.45,1325.24,1325.24
2025-12-05,1320.85,1326.63,1308.39,1322.84,1322.84
2025-12-08,1321.85,1325.74,1305.4,1318.36,1318.36
2025-12-09,1310.88,1335.7,1305.9,1331.72,1331.72
2025-12-10,1326.93,1341.49,1323.14,1336.7,1336.7
2025-12-11,1326.83,1351.75,1323.54,1349.16,1349.16
2025-12-12,1350.76,1375.38,1349.36,1372.89,1372.89
2025-12-15,1365.81,1386.64,1357.73,1384.55,1384.55
2025-12-16,1375.68,1397.91,1371.19,1389.93,1389.93
2025-12-17,1385.65,1391.63,1371.39,1376.18,1376.18
2025-12-18,1372.79,1421.43,1366.11,1397.31,1397.31
2025-12-19,1392.63,1410.57,1360.23,1371.19,1371.19
2025-12-22,1371.19,1388.34,1367.7,1383.65,1383.65
2025-12-23,1384.45,1387.54,1371.89,1381.26,1381.26
2025-12-24,1381.26,1415.55,1373.49,1390.33,1390.33
2025-12-26,1385.65,1407.98,1372.69,1376.77,1376.77
2025-12-29,1380.16,1394.92,1371.69,1375.78,1375.78
2025-12-30,1372.69,1374.48,1342.18,1346.47,1346.47
2025-12-31,1346.47,1370.69,1339.49,1356.94,1356.94
2026-01-01,1356.94,1383.65,1356.94,1379.96,1379.96
2026-01-02,1384.65,1443.07,1382.56,1425.72,1425.72
2026-01-05,1425.02,1489.92,1418.74,1472.18,1472.18
2026-01-06,1472.18,1500.29,1468.19,1481.55,1481.55
2026-01-07,1480.35,1513.15,1477.76,1502.88,1502.88
2026-01-08,1502.98,1507.26,1460.51,1464.5,1464.5
2026-01-09,1460.41,1478.16,1453.43,1462.21,1462.21
2026-01-12,1456.42,1478.65,1452.44,1463.6,1463.6
2026-01-13,1465.4,1475.17,1440.97,1456.13,1456.13
2026-01-14,1454.43,1454.43,1424.62,1435.39,1435.39
2026-01-16,1435.49,1443.96,1402.59,1406.98,1406.98
2026-01-19,1400.8,1413.16,1390.63,1394.02,1394.02
2026-01-20,1386.15,1398.01,1315.07,1320.15,1320.15
2026-01-21,1315.87,1327.13,1270.21,1286.56,1286.56
2026-01-22,1299.92,1308.89,1270.91,1289.45,1289.45
2026-01-23,1293.94,1358.73,1290.94,1311.28,1311.28
2026-01-27,1315.87,1339.19,1283.97,1326.43,1326.43
2026-01-28,1336.8,1375.58,1329.42,1368.6,1368.6
2026-01-29,1370.59,1370.59,1328.43,1344.88,1344.88
2026-01-30,1337.2,1359.93,1275.99,1323.74,1323.74
2026-02-02,1293.34,1327.53,1266.02,1322.65,1322.65
2026-02-03,1346.77,1382.66,1345.87,1362.62,1362.62
2026-02-04,1364.11,1422.53,1355.94,1415.05,1415.05
2026-02-05,1424.52,1429.71,1400.3,1422.33,1422.33
2026-02-06,1415.55,1434.89,1399.7,1430.51,1430.51
2026-02-09,1435.49,1501.28,1426.92,1498.19,1498.19
2026-02-10,1505.27,1525.21,1454.73,1470.98,1470.98
2026-02-11,1478.16,1504.77,1467.69,1501.78,1501.78
2026-02-12,1497.6,1541.96,1483.94,1530.99,1530.99
2026-02-13,1529.2,1529.2,1505.47,1520.62,1520.62
2026-02-16,1525.21,1534.98,1512.65,1525.81,1525.81
2026-02-17,1535.18,1535.18,1508.46,1524.91,1524.91
2026-02-18,1530.09,1547.94,1514.84,1538.57,1538.57
2026-02-19,1546.14,1546.44,1499.29,1507.96,1507.96
2026-02-20,1505.17,1546.04,1500.39,1542.06,1542.06
2026-02-23,1543.25,1558.11,1524.91,1533.38,1533.38
2026-02-24,1529.3,1550.13,1526.21,1533.18,1533.18
2026-02-25,1543.15,1561.49,1508.36,1517.63,1517.63
2026-02-26,1528.2,1554.12,1516.24,1539.66,1539.66
2026-02-27,1545.15,1577.54,1529.4,1556.41,1556.41
2026-03-02,1516.24,1534.18,1478.06,1494.41,1494.41
2026-03-04,1465.5,1475.37,1425.52,1434.39,1434.39
2026-03-05,1434.39,1493.31,1433.5,1480.65,1480.65
2026-03-06,1475.37,1484.74,1455.63,1473.77,1473.77
2026-03-09,1457.42,1465.1,1408.58,1432.0,1432.0
2026-03-10,1455.43,1467.39,1429.51,1444.36,1444.36
2026-03-11,1450.44,1505.07,1448.65,1466.79,1466.79
2026-03-12,1464.4,1470.18,1415.55,1444.86,1444.86
2026-03-13,1435.49,1444.36,1380.86,1409.77,1409.77
2026-03-16,1406.18,1417.15,1356.74,1402.0,1402.0
2026-03-17,1414.56,1423.13,1392.13,1415.95,1415.95
2026-03-18,1415.55,1443.47,1405.88,1418.14,1418.14
2026-03-19,1395.62,1397.51,1337.2,1342.98,1342.98
2026-03-20,1348.76,1373.68,1314.27,1320.35,1320.35
2026-03-23,1300.91,1300.91,1219.17,1247.28,1247.28
2026-03-24,1279.38,1305.8,1242.5,1298.02,1298.02
2026-03-25,1313.57,1376.68,1313.57,1364.51,1364.51
